"Date" "AAPL" "MSFT"
"1" "2/01/1998" 4.06 16.39
"2" "5/01/1998" 3.97 16.3
"3" "6/01/1998" 4.73 16.39
"4" "7/01/1998" 4.38 16.2
"5" "8/01/1998" 4.55 16.31
"6" "9/01/1998" 4.55 15.88
"7" "12/01/1998" 4.56 16.19
"8" "13/01/1998" 4.88 16.52
"9" "14/01/1998" 4.94 16.39
"10" "15/01/1998" 4.8 16.54
"11" "16/01/1998" 4.7 16.91
"12" "20/01/1998" 4.78 17.23
"13" "21/01/1998" 4.72 17.12
"14" "22/01/1998" 4.81 17.33
"15" "23/01/1998" 4.88 17.28
"16" "26/01/1998" 4.86 17.72
"17" "27/01/1998" 4.78 18.15
"18" "28/01/1998" 4.8 18.62
"19" "29/01/1998" 4.62 18.52
"20" "30/01/1998" 4.58 18.65
"21" "2/02/1998" 4.42 19.36
"22" "3/02/1998" 4.58 19.48
"23" "4/02/1998" 4.56 19.6
"24" "5/02/1998" 4.58 19.43
"25" "6/02/1998" 4.62 19.77
"26" "9/02/1998" 4.8 19.65
"27" "10/02/1998" 4.86 19.91
"28" "11/02/1998" 4.75 19.87
"29" "12/02/1998" 4.84 19.84
"30" "13/02/1998" 4.88 19.69
"31" "17/02/1998" 4.91 19.3
"32" "18/02/1998" 5.12 19.33
"33" "19/02/1998" 5.11 19.36
"34" "20/02/1998" 5 19.39
"35" "23/02/1998" 5.31 20.41
"36" "24/02/1998" 5.33 20.53
"37" "25/02/1998" 5.58 21.23
"38" "26/02/1998" 5.88 21.38
"39" "27/02/1998" 5.91 21.19
"40" "2/03/1998" 5.69 20.84
"41" "3/03/1998" 5.78 21.12
"42" "4/03/1998" 6.11 20.58
"43" "5/03/1998" 6.02 20.02
"44" "6/03/1998" 6.11 20.64
"45" "9/03/1998" 5.69 19.9
"46" "10/03/1998" 6.02 20.38
"47" "11/03/1998" 6.53 20.17
"48" "12/03/1998" 6.75 20.47
"49" "13/03/1998" 6.78 20.59
"50" "16/03/1998" 6.67 20.5
"51" "17/03/1998" 6.59 20.09
"52" "18/03/1998" 6.73 20.44
"53" "19/03/1998" 6.69 20.5
"54" "20/03/1998" 6.59 20.47
"55" "23/03/1998" 6.53 20.97
"56" "24/03/1998" 7 21.23
"57" "25/03/1998" 6.79 22.2
"58" "26/03/1998" 6.64 22.06
"59" "27/03/1998" 6.73 21.95
"60" "30/03/1998" 6.88 22
"61" "31/03/1998" 6.88 22.38
"62" "1/04/1998" 6.86 22.59
"63" "2/04/1998" 6.83 22.83
"64" "3/04/1998" 6.77 23.25
"65" "6/04/1998" 6.56 22.48
"66" "7/04/1998" 6.38 21.81
"67" "8/04/1998" 6.25 22.23
"68" "9/04/1998" 6.41 22.25
"69" "13/04/1998" 6.61 22.16
"70" "14/04/1998" 6.73 22.11
"71" "15/04/1998" 6.86 22.84
"72" "16/04/1998" 7.16 22.92
"73" "17/04/1998" 6.98 23.03
"74" "20/04/1998" 7.25 23.66
"75" "21/04/1998" 7.25 23.75
"76" "22/04/1998" 6.88 24.69
"77" "23/04/1998" 6.92 23.62
"78" "24/04/1998" 6.98 23.03
"79" "27/04/1998" 6.94 22.58
"80" "28/04/1998" 6.73 22.47
"81" "29/04/1998" 6.75 22.62
"82" "30/04/1998" 6.84 22.53
"83" "1/05/1998" 7 22.41
"84" "4/05/1998" 7.27 22.02
"85" "5/05/1998" 7.42 21.94
"86" "6/05/1998" 7.58 21.59
"87" "7/05/1998" 7.55 20.84
"88" "8/05/1998" 7.61 21.44
"89" "11/05/1998" 7.73 21.05
"90" "12/05/1998" 7.53 21.42
"91" "13/05/1998" 7.61 21.73
"92" "14/05/1998" 7.52 22.23
"93" "15/05/1998" 7.39 22.36
"94" "18/05/1998" 7.12 21.52
"95" "19/05/1998" 7.34 21.65
"96" "20/05/1998" 7.39 21.44
"97" "21/05/1998" 7.22 21.59
"98" "22/05/1998" 6.97 21.39
"99" "26/05/1998" 6.67 20.91
"100" "27/05/1998" 6.69 21.5
"101" "28/05/1998" 6.86 21.58
"102" "29/05/1998" 6.66 21.2
"103" "1/06/1998" 6.56 20.94
"104" "2/06/1998" 6.72 21.38
"105" "3/06/1998" 6.58 21.08
"106" "4/06/1998" 6.7 21.52
"107" "5/06/1998" 6.72 21.56
"108" "8/06/1998" 6.81 21.42
"109" "9/06/1998" 7.06 21.77
"110" "10/06/1998" 7.02 21.5
"111" "11/06/1998" 6.95 21.33
"112" "12/06/1998" 7.03 21.44
"113" "15/06/1998" 6.88 21.48
"114" "16/06/1998" 7 22.47
"115" "17/06/1998" 7.03 22.77
"116" "18/06/1998" 6.83 22.8
"117" "19/06/1998" 6.77 23.67
"118" "22/06/1998" 6.84 23.95
"119" "23/06/1998" 6.95 25.19
"120" "24/06/1998" 7.06 26.23
"121" "25/06/1998" 7.14 25.39
"122" "26/06/1998" 7.05 26.11
"123" "29/06/1998" 7.17 26.86
"124" "30/06/1998" 7.17 27.09
"125" "1/07/1998" 7.48 27.34
"126" "2/07/1998" 7.25 26.81
"127" "6/07/1998" 7.59 26.95
"128" "7/07/1998" 7.62 26.98
"129" "8/07/1998" 8.14 27.47
"130" "9/07/1998" 7.92 27.75
"131" "10/07/1998" 8.02 28.3
"132" "13/07/1998" 8.48 29.39
"133" "14/07/1998" 8.36 29.12
"134" "15/07/1998" 8.61 29.34
"135" "16/07/1998" 9.38 29.34
"136" "17/07/1998" 9.22 29.48
"137" "20/07/1998" 9.06 29.25
"138" "21/07/1998" 8.91 28.2
"139" "22/07/1998" 8.75 29.19
"140" "23/07/1998" 8.73 28.25
"141" "24/07/1998" 8.67 28.45
"142" "27/07/1998" 8.61 29.19
"143" "28/07/1998" 8.41 28.06
"144" "29/07/1998" 8.78 27.67
"145" "30/07/1998" 9.12 28.36
"146" "31/07/1998" 8.66 27.48
"147" "3/08/1998" 8.78 27.11
"148" "4/08/1998" 8.55 26.12
"149" "5/08/1998" 9 26.08
"150" "6/08/1998" 9.22 26.72
"151" "7/08/1998" 9.12 26.47
"152" "10/08/1998" 9.48 26.11
"153" "11/08/1998" 9.75 25.86
"154" "12/08/1998" 10.02 26.27
"155" "13/08/1998" 9.86 25.98
"156" "14/08/1998" 10.12 26.06
"157" "17/08/1998" 10.48 26.83
"158" "18/08/1998" 10.64 27.81
"159" "19/08/1998" 10.25 27.64
"160" "20/08/1998" 10.16 28.14
"161" "21/08/1998" 10.75 27.66
"162" "24/08/1998" 10.3 27.59
"163" "25/08/1998" 10.2 28.2
"164" "26/08/1998" 10.09 28.14
"165" "27/08/1998" 9.38 27.31
"166" "28/08/1998" 8.55 26.31
"167" "31/08/1998" 7.8 23.98
"168" "1/09/1998" 8.53 25.31
"169" "2/09/1998" 8.89 25.14
"170" "3/09/1998" 8.66 24.81
"171" "4/09/1998" 8.78 24.16
"172" "8/09/1998" 9.56 25.49
"173" "9/09/1998" 9.34 25.56
"174" "10/09/1998" 9.53 25.19
"175" "11/09/1998" 9.41 26.06
"176" "14/09/1998" 9.3 26.5
"177" "15/09/1998" 9.55 27.08
"178" "16/09/1998" 9.33 27.05
"179" "17/09/1998" 9 26.23
"180" "18/09/1998" 9.19 26.34
"181" "21/09/1998" 9.23 26.97
"182" "22/09/1998" 9.25 27.3
"183" "23/09/1998" 9.58 28.41
"184" "24/09/1998" 9.62 27.53
"185" "25/09/1998" 9.69 28.27
"186" "28/09/1998" 9.77 27.83
"187" "29/09/1998" 9.88 28.22
"188" "30/09/1998" 9.53 27.52
"189" "1/10/1998" 8.92 26.02
"190" "2/10/1998" 8.77 26.03
"191" "5/10/1998" 8.05 25.3
"192" "6/10/1998" 8.14 24.41
"193" "7/10/1998" 7.98 23.53
"194" "8/10/1998" 7.7 22.8
"195" "9/10/1998" 8.78 24.22
"196" "12/10/1998" 9.36 24.94
"197" "13/10/1998" 9.69 24.11
"198" "14/10/1998" 9.34 25.05
"199" "15/10/1998" 9.16 26.36
"200" "16/10/1998" 9.17 26.27
"201" "19/10/1998" 9.38 25.73
"202" "20/10/1998" 9.02 25.06
