Date,DJI,AXP,MMM,ATT,BA,CAT,CISCO,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MRK,MCD,MSFT,NKE
3/01/2000,11357.5,45.82,47.19,47.19,40.12,24.31,54.05,65,39.09,49.95,88.31,65.5,115.56,43.47,46.09,48.69,64.04,39.62,58.34,12.03
4/01/2000,10997.9,44.09,45.31,44.25,40.12,24,51,65,38.41,48.06,82.38,61.5,112.06,41.47,44.41,47.27,61.61,38.81,56.31,11.38
5/01/2000,11122.7,42.96,46.62,44.94,42.62,24.56,51.19,67.75,40.5,47.7,78.88,61.44,116,41.81,44.88,46.98,64.22,39.44,56.91,12.03
6/01/2000,11253.3,43.78,50.62,43.75,43.06,25.81,50,71.5,42.59,48.51,82.25,60,114.62,39.38,46.28,47.65,64.75,38.88,55,11.97
7/01/2000,11522.6,44.42,51.47,44.12,44.12,26.66,52.94,71.62,42.31,50.28,82.56,62.81,113.31,41,47.88,48.52,70.97,39.75,55.72,11.97
10/01/2000,11572.2,45.04,51.12,44.75,43.69,25.78,54.91,70,41.88,50.37,84.38,63.19,118.44,42.88,47.03,47.69,68.89,40.06,56.12,12.17
11/01/2000,11511.1,45.45,50.25,44.12,42.88,25.38,53.25,68.75,42.38,50.49,84.81,61.56,118.62,44.84,47.19,46.56,69.13,41,54.69,12.78
12/01/2000,11551.1,45.22,50.38,41.81,43.06,25.81,51.91,69.06,41.75,50.76,84.38,61.06,119.62,45.62,46.75,46.86,70.49,42.75,52.91,12.34
13/01/2000,11582.4,45.45,50.38,40.81,42.38,26.09,53.09,68.38,42.62,51.26,84.5,62.12,118.25,45.53,46.69,47.57,70.79,42.31,53.91,12.5
14/01/2000,11723,46.47,49.66,41.94,44,25.97,53.78,67.39,41.88,50.28,85.62,61.75,119.62,51.53,46.84,49.27,69.84,42.61,56.12,12.83
18/01/2000,11560.7,44.16,48.56,41.12,45,24.97,56,65.5,42.19,49.28,86.88,60.5,116,51.06,45.59,47.36,67.06,41.5,57.66,12.66
19/01/2000,11489.4,43.4,49.41,40.56,47.62,24.66,56.16,64.62,42.78,49.52,87.56,61.88,115.5,50.03,45.81,49.44,67.71,42.38,53.5,13.2
20/01/2000,11351.3,44.42,47.56,41.12,46.5,23.56,56.19,64,41.84,48.6,85.94,60.81,121,47.81,45.31,48.69,69.07,41,53,12.89
21/01/2000,11251.7,44.2,47.47,42.88,45.69,23.69,57.62,63.25,42.5,47.99,85.69,60,121,48.97,44.94,48.65,68.6,41.06,51.88,12.67
24/01/2000,11008.2,44.29,46.38,41.44,44.31,22.66,54.53,62.75,42.12,46,81.75,57.5,121.5,49.41,41.88,48.69,66.53,39.94,50.62,12.42
25/01/2000,11029.9,46.15,45.69,39.88,45.69,21.81,56.06,61.5,42.03,46.12,83.88,55.75,119.5,50.78,42.62,49.77,67.12,39.81,51.41,12.22
26/01/2000,11033,46.55,48.16,40,46.19,22.59,53.59,60.94,41.75,47.1,88.25,57.38,116.75,48.25,41.75,52.15,68.95,35.5,49.69,12.38
27/01/2000,11028,47.48,48.12,39.62,45.06,22.28,53.31,61.5,40.5,47.2,89,57.81,113.38,49.06,40.25,53.82,70.2,37.62,49.38,11.81
28/01/2000,10738.9,46.11,46.12,39.25,44.62,21.75,51.94,59.25,39.44,44.83,87,55.62,111.38,47.09,42.25,51.15,72.21,36.75,49.12,11.72
