Date,AAPL,MSFT
2/01/1998,4.06,16.39
5/01/1998,3.97,16.3
6/01/1998,4.73,16.39
7/01/1998,4.38,16.2
8/01/1998,4.55,16.31
9/01/1998,4.55,15.88
12/01/1998,4.56,16.19
13/01/1998,4.88,16.52
14/01/1998,4.94,16.39
15/01/1998,4.8,16.54
16/01/1998,4.7,16.91
20/01/1998,4.78,17.23
21/01/1998,4.72,17.12
22/01/1998,4.81,17.33
23/01/1998,4.88,17.28
26/01/1998,4.86,17.72
27/01/1998,4.78,18.15
28/01/1998,4.8,18.62
29/01/1998,4.62,18.52
30/01/1998,4.58,18.65
2/02/1998,4.42,19.36
3/02/1998,4.58,19.48
4/02/1998,4.56,19.6
5/02/1998,4.58,19.43
6/02/1998,4.62,19.77
9/02/1998,4.8,19.65
10/02/1998,4.86,19.91
11/02/1998,4.75,19.87
12/02/1998,4.84,19.84
13/02/1998,4.88,19.69
17/02/1998,4.91,19.3
18/02/1998,5.12,19.33
19/02/1998,5.11,19.36
20/02/1998,5,19.39
23/02/1998,5.31,20.41
24/02/1998,5.33,20.53
25/02/1998,5.58,21.23
26/02/1998,5.88,21.38
27/02/1998,5.91,21.19
2/03/1998,5.69,20.84
3/03/1998,5.78,21.12
4/03/1998,6.11,20.58
5/03/1998,6.02,20.02
6/03/1998,6.11,20.64
9/03/1998,5.69,19.9
10/03/1998,6.02,20.38
11/03/1998,6.53,20.17
12/03/1998,6.75,20.47
13/03/1998,6.78,20.59
16/03/1998,6.67,20.5
17/03/1998,6.59,20.09
18/03/1998,6.73,20.44
19/03/1998,6.69,20.5
20/03/1998,6.59,20.47
23/03/1998,6.53,20.97
24/03/1998,7,21.23
25/03/1998,6.79,22.2
26/03/1998,6.64,22.06
27/03/1998,6.73,21.95
30/03/1998,6.88,22
31/03/1998,6.88,22.38
1/04/1998,6.86,22.59
2/04/1998,6.83,22.83
3/04/1998,6.77,23.25
6/04/1998,6.56,22.48
7/04/1998,6.38,21.81
8/04/1998,6.25,22.23
9/04/1998,6.41,22.25
13/04/1998,6.61,22.16
14/04/1998,6.73,22.11
15/04/1998,6.86,22.84
16/04/1998,7.16,22.92
17/04/1998,6.98,23.03
20/04/1998,7.25,23.66
21/04/1998,7.25,23.75
22/04/1998,6.88,24.69
23/04/1998,6.92,23.62
24/04/1998,6.98,23.03
27/04/1998,6.94,22.58
28/04/1998,6.73,22.47
29/04/1998,6.75,22.62
30/04/1998,6.84,22.53
1/05/1998,7,22.41
4/05/1998,7.27,22.02
5/05/1998,7.42,21.94
6/05/1998,7.58,21.59
7/05/1998,7.55,20.84
8/05/1998,7.61,21.44
11/05/1998,7.73,21.05
12/05/1998,7.53,21.42
13/05/1998,7.61,21.73
14/05/1998,7.52,22.23
15/05/1998,7.39,22.36
18/05/1998,7.12,21.52
19/05/1998,7.34,21.65
20/05/1998,7.39,21.44
21/05/1998,7.22,21.59
22/05/1998,6.97,21.39
26/05/1998,6.67,20.91
27/05/1998,6.69,21.5
28/05/1998,6.86,21.58
29/05/1998,6.66,21.2
1/06/1998,6.56,20.94
2/06/1998,6.72,21.38
3/06/1998,6.58,21.08
