Date,MSFT,IBM,AAPL,MCD,PG,GOOG
2/01/2002,33.52,121.5,11.65,26.49,40,
3/01/2002,34.62,123.66,11.79,26.79,39.62,
4/01/2002,34.45,125.6,11.84,26.99,39.22,
7/01/2002,34.28,124.05,11.45,27.2,38.78,
8/01/2002,34.69,124.7,11.3,27.36,38.88,
9/01/2002,34.36,124.49,10.82,26.88,38.6,
10/01/2002,34.64,122.14,10.62,26.81,38.46,
11/01/2002,34.3,120.31,10.52,26.34,38.6,
14/01/2002,34.24,118.05,10.58,26.02,39.35,
15/01/2002,34.78,118.85,10.85,26.2,39.82,
16/01/2002,33.94,117.4,10.39,26.06,39.74,
17/01/2002,34.93,119.9,11.24,26.48,39.84,
18/01/2002,33.05,114.25,11.08,26.43,39.9,
22/01/2002,32.23,110.5,10.91,26.8,39.71,
23/01/2002,31.87,107.9,11.51,27.4,39.3,
24/01/2002,32.33,108.72,11.6,26.47,38.89,
25/01/2002,31.9,109.28,11.62,25.62,39.57,
28/01/2002,31.91,108.15,11.64,26.38,39.58,
29/01/2002,31.16,103,11.54,26.26,38.76,
30/01/2002,31.42,105.55,12.04,26.99,39.14,
31/01/2002,31.86,107.89,12.36,27.18,40.84,
1/02/2002,31.33,108,12.2,26.63,41.28,
4/02/2002,30.56,106.8,12.68,26.6,41.35,
5/02/2002,30.58,106.3,12.72,27.2,41.31,
6/02/2002,30.2,106.63,12.34,27.19,41.25,
7/02/2002,29.9,103.91,12.15,27.06,41.06,
8/02/2002,30.32,104.99,12.02,26.72,41.04,
11/02/2002,30.56,107.38,12.49,27,40.86,
12/02/2002,30.07,106.57,12.36,26.85,41.78,
13/02/2002,30.91,108.07,12.5,26.93,41.86,
14/02/2002,30.8,107.89,12.3,26.86,42.02,
15/02/2002,30.12,102.89,11.95,26.75,42.5,
19/02/2002,29.42,99.54,11.31,26.2,42,
20/02/2002,29.95,99.31,11.56,26.97,42.5,
21/02/2002,29.02,96.38,10.75,26.52,41.55,
22/02/2002,29,98.45,11.37,26.95,42.8,
25/02/2002,29.54,98.3,11.9,26.82,43.68,
26/02/2002,29.28,97.15,11.84,26.5,43.25,
27/02/2002,29.2,97.83,10.98,26.38,42.75,
28/02/2002,29.17,98.12,10.85,26.1,42.4,
1/03/2002,30.68,103.02,11.72,26.17,43.78,
4/03/2002,31.6,105.9,12.14,26.85,43.49,
5/03/2002,31.54,105.67,11.76,27.62,42.53,
6/03/2002,31.82,106.3,12.04,28.06,42.52,
7/03/2002,31.36,103.71,12.19,27.74,41.97,
8/03/2002,31.98,105.09,12.33,27.91,41.96,
11/03/2002,32.17,105.24,12.53,27.9,42.05,
12/03/2002,31.27,108.5,12.36,28.35,42.64,
13/03/2002,31.05,107.18,12.24,27.9,42.61,
14/03/2002,30.61,106.6,12.22,28.15,42.5,
15/03/2002,31.24,106.79,12.48,28.72,43.54,
18/03/2002,31.07,106.35,12.37,28.44,43.83,
19/03/2002,31.12,107.49,12.42,28.8,44.97,
20/03/2002,30.05,105.5,12.46,28.75,44.8,
21/03/2002,30.68,106.78,12.14,28.7,45.2,
22/03/2002,30.22,105.6,12.04,27.65,45.05,
25/03/2002,29.62,103.56,11.68,27.22,44.88,
26/03/2002,29.54,102.9,11.73,27.49,44.72,
27/03/2002,29.72,103.39,11.74,27.94,45.01,
28/03/2002,30.16,104,11.84,27.75,45.04,
1/04/2002,30.19,102.86,12.23,27.25,45,
2/04/2002,28.65,101.01,12.04,27.5,45.3,
3/04/2002,28.16,99.96,11.88,27.49,44.63,
4/04/2002,28.22,100.84,12.45,27.79,44.99,
5/04/2002,27.94,97.25,12.37,28.35,44.9,
8/04/2002,28.61,87.41,12.28,28.49,45.12,
9/04/2002,27.44,87.74,12.05,28.15,45.06,
10/04/2002,28.15,89.01,12.33,27.95,46.17,
11/04/2002,27.4,84.19,12.43,27.71,45.66,
12/04/2002,27.96,85.6,12.53,27.8,45.96,
15/04/2002,27.84,85.35,12.5,27.4,45.28,
16/04/2002,28.9,86.2,12.87,27.5,45.6,
17/04/2002,28.32,84.81,13.06,27.16,45.06,
18/04/2002,28.18,88.95,12.7,28.62,44.2,
19/04/2002,28.6,89,12.49,28.6,44.44,
22/04/2002,27.8,87.93,12.26,28.5,44.44,
23/04/2002,27,87.33,12.12,28.77,44.45,
24/04/2002,26.51,86.5,11.88,28.5,44.72,
25/04/2002,26.86,86.71,12.06,28.33,44.71,
26/04/2002,25.75,84.71,11.5,28.23,44.9,
29/04/2002,26.12,83.89,11.98,28.21,45,
30/04/2002,26.13,83.76,12.14,28.4,45.13,
1/05/2002,26.38,84.3,11.99,28.48,45.9,
2/05/2002,25.6,83.86,11.84,28.5,46.62,
3/05/2002,24.78,81.78,11.76,29.29,45.98,
6/05/2002,24.31,76,11.32,29.1,46.1,
7/05/2002,24.74,76.5,11.24,29.21,45.83,
8/05/2002,27.48,82.45,12.18,28.88,45.9,
9/05/2002,26.06,79.93,12.1,29.28,46.03,
10/05/2002,25.02,79.68,11.66,29.81,46.2,
13/05/2002,26.34,82.19,11.97,30.41,46.6,
14/05/2002,27.44,85.48,12.8,29.98,46.52,
15/05/2002,27.38,84.5,12.64,30.06,46.08,
16/05/2002,27.87,85.45,12.6,29.97,46.48,
17/05/2002,28.02,85.69,12.5,30.01,46.81,
20/05/2002,27,84.45,12.37,30.13,46.2,
21/05/2002,26.1,83.45,11.73,30.4,45.55,
22/05/2002,26.84,84,12.16,30.65,45.95,
23/05/2002,27.41,84.35,12.59,30.4,45.68,
24/05/2002,26.63,83.1,12.08,30.26,45.13,
28/05/2002,26.16,82.08,11.99,30.15,44,
29/05/2002,26.02,81.6,11.99,30.01,43.51,
30/05/2002,26.32,82.25,12.1,29.77,44.38,
